Call Number,Unit ID,Incident Number,Call Type,Call Date,Watch Date,Received DtTm,Entry DtTm,Dispatch DtTm,Response DtTm,On Scene DtTm,Transport DtTm,Hospital DtTm,Call Final Disposition,Available DtTm,Address,City,Zipcode of Incident,Battalion,Station Area,Box,Original Priority,Priority,Final Priority,ALS Unit,Call Type Group,Number of Alarms,Unit Type,Unit sequence in call dispatch,Fire Prevention District,Supervisor District,Neighborhooods - Analysis Boundaries,Location,RowID
192063475,E02,19087774,Structure Fire,07/25/2019,07/25/2019,07/25/2019 07:16:45 PM,07/25/2019 07:18:15 PM,07/25/2019 07:18:47 PM,07/25/2019 07:21:12 PM,07/25/2019 06:21:39 PM,,,Fire,07/25/2019 07:23:01 PM,1400 Block of SACRAMENTO ST,San Francisco,94109,B01,41,1563,3,3,3,true,Alarm,1,ENGINE,3,1,3,Nob Hill,"(37.792059516639355, -122.41694742808038)",192063475-E02
192063475,E03,19087774,Structure Fire,07/25/2019,07/25/2019,07/25/2019 07:16:45 PM,07/25/2019 07:18:15 PM,07/25/2019 07:18:47 PM,07/25/2019 07:19:14 PM,07/25/2019 07:20:43 PM,,,Fire,07/25/2019 07:22:45 PM,1400 Block of SACRAMENTO ST,San Francisco,94109,B01,41,1563,3,3,3,true,Alarm,1,ENGINE,2,1,3,Nob Hill,"(37.792059516639355, -122.41694742808038)",192063475-E03
192063475,E41,19087774,Structure Fire,07/25/2019,07/25/2019,07/25/2019 07:16:45 PM,07/25/2019 07:18:15 PM,07/25/2019 07:18:47 PM,07/25/2019 07:19:29 PM,07/25/2019 07:20:26 PM,,,Fire,07/25/2019 07:24:54 PM,1400 Block of SACRAMENTO ST,San Francisco,94109,B01,41,1563,3,3,3,true,Alarm,1,ENGINE,1,1,3,Nob Hill,"(37.792059516639355, -122.41694742808038)",192063475-E41
192063475,RS1,19087774,Structure Fire,07/25/2019,07/25/2019,07/25/2019 07:16:45 PM,07/25/2019 07:18:15 PM,07/25/2019 07:18:47 PM,07/25/2019 07:20:30 PM,,,,Fire,07/25/2019 07:22:25 PM,1400 Block of SACRAMENTO ST,San Francisco,94109,B01,41,1563,3,3,3,false,Alarm,1,RESCUE SQUAD,9,1,3,Nob Hill,"(37.792059516639355, -122.41694742808038)",192063475-RS1
192063475,T02,19087774,Structure Fire,07/25/2019,07/25/2019,07/25/2019 07:16:45 PM,07/25/2019 07:18:15 PM,07/25/2019 07:18:47 PM,07/25/2019 07:19:32 PM,07/25/2019 07:21:57 PM,,,Fire,07/25/2019 07:22:09 PM,1400 Block of SACRAMENTO ST,San Francisco,94109,B01,41,1563,3,3,3,false,Alarm,1,TRUCK,5,1,3,Nob Hill,"(37.792059516639355, -122.41694742808038)",192063475-T02
192063475,T03,19087774,Structure Fire,07/25/2019,07/25/2019,07/25/2019 07:16:45 PM,07/25/2019 07:18:15 PM,07/25/2019 07:18:47 PM,07/25/2019 07:19:20 PM,07/25/2019 07:21:54 PM,,,Fire,07/25/2019 07:24:41 PM,1400 Block of SACRAMENTO ST,San Francisco,94109,B01,41,1563,3,3,3,false,Alarm,1,TRUCK,4,1,3,Nob Hill,"(37.792059516639355, -122.41694742808038)",192063475-T03
192063495,71,19087775,Medical Incident,07/25/2019,07/25/2019,07/25/2019 07:18:58 PM,07/25/2019 07:22:03 PM,07/25/2019 07:22:55 PM,07/25/2019 07:22:59 PM,,,,Code 2 Transport,07/25/2019 07:27:43 PM,500 Block of BATTERY ST,San Francisco,94111,B01,13,1156,2,2,2,true,Non Life-threatening,1,MEDIC,2,1,3,Financial District/South Beach,"(37.79633524835764, -122.4005152232957)",192063495-71
192063495,KM01,19087775,Medical Incident,07/25/2019,07/25/2019,07/25/2019 07:18:58 PM,07/25/2019 07:22:03 PM,07/25/2019 07:26:16 PM,07/25/2019 07:26:46 PM,07/25/2019 07:32:49 PM,07/25/2019 08:02:34 PM,07/25/2019 08:28:59 PM,Code 2 Transport,07/25/2019 09:00:29 PM,500 Block of BATTERY ST,San Francisco,94111,B01,13,1156,2,2,2,false,Non Life-threatening,1,PRIVATE,1,1,3,Financial District/South Beach,"(37.79633524835764, -122.4005152232957)",192063495-KM01
171743725,B05,17073664,Alarms,06/23/2017,06/23/2017,06/23/2017 08:30:09 PM,06/23/2017 08:33:40 PM,06/23/2017 08:34:06 PM,,,,,Fire,06/23/2017 08:35:46 PM,500 Block of WALLER ST,San Francisco,94117,B05,6,3635,3,3,3,false,Alarm,1,CHIEF,3,5,5,Haight Ashbury,"(37.770966902634, -122.432321754736)",171743725-B05
172331593,T06,17097326,Alarms,08/21/2017,08/21/2017,08/21/2017 11:02:08 AM,08/21/2017 11:03:18 AM,08/21/2017 11:03:28 AM,08/21/2017 11:04:09 AM,08/21/2017 11:07:14 AM,,,Fire,08/21/2017 11:17:49 AM,1800 Block of 15TH ST,San Francisco,94103,B02,6,5227,3,3,3,false,Alarm,1,TRUCK,1,2,8,Mission,"(37.766322531621, -122.424723870424)",172331593-T06
172361661,B01,17098575,Alarms,08/24/2017,08/24/2017,08/24/2017 11:11:26 AM,08/24/2017 11:12:49 AM,08/24/2017 11:12:59 AM,,,,,Fire,08/24/2017 11:14:01 AM,400 Block of POST ST,San Francisco,94102,B01,2,1362,3,3,3,false,Alarm,1,CHIEF,2,1,3,Nob Hill,"(37.788241923266, -122.409240218448)",172361661-B01
172382364,AP,17099443,Other,08/26/2017,08/26/2017,08/26/2017 03:40:48 PM,08/26/2017 03:40:48 PM,08/26/2017 03:40:48 PM,08/26/2017 03:40:48 PM,08/26/2017 03:40:48 PM,,,Fire,08/26/2017 03:40:48 PM,CALL BOX: SF INTERNATIONAL AIRPORT,,,B09,44,6913,3,3,3,false,Alarm,1,AIRPORT,1,None,None,None,"(37.616882323925, -122.384094238098)",172382364-AP
172303013,T07,17096169,Alarms,08/18/2017,08/18/2017,08/18/2017 04:53:29 PM,08/18/2017 04:54:08 PM,08/18/2017 04:54:25 PM,08/18/2017 04:55:34 PM,,,,Fire,08/18/2017 05:10:19 PM,2500 Block of MISSION ST,San Francisco,94110,B06,7,5472,3,3,3,false,Alarm,1,TRUCK,3,6,9,Mission,"(37.756231994644, -122.418893283075)",172303013-T07
172271783,E02,17094821,Alarms,08/15/2017,08/15/2017,08/15/2017 12:10:31 PM,08/15/2017 12:11:50 PM,08/15/2017 12:12:15 PM,,,,,Fire,08/15/2017 12:13:04 PM,600 Block of SACRAMENTO ST,San Francisco,94111,B01,13,1244,3,3,3,true,Alarm,1,ENGINE,4,1,3,Chinatown,"(37.793767329271, -122.403497604139)",172271783-E02
172370145,T06,17098825,Alarms,08/25/2017,08/24/2017,08/25/2017 01:14:11 AM,08/25/2017 01:15:50 AM,08/25/2017 01:16:21 AM,08/25/2017 01:18:10 AM,,,,Fire,08/25/2017 01:26:57 AM,800 Block of HAYES ST,San Francisco,94117,B02,5,3522,3,3,3,false,Alarm,1,TRUCK,3,2,5,Hayes Valley,"(37.775993545498, -122.430387323181)",172370145-T06
172752472,T16,17115706,Alarms,10/02/2017,10/02/2017,10/02/2017 02:33:17 PM,10/02/2017 02:35:10 PM,10/02/2017 02:35:23 PM,10/02/2017 02:36:11 PM,,,,Fire,10/02/2017 02:38:57 PM,0 Block of GRAHAM ST,Presidio,94129,B99,51,4626,3,3,3,false,Alarm,1,TRUCK,3,7,2,Presidio,"(37.800649950799, -122.456763539028)",172752472-T16
172653984,B07,17111703,Structure Fire,09/22/2017,09/22/2017,09/22/2017 09:20:26 PM,09/22/2017 09:23:33 PM,09/22/2017 09:23:52 PM,,,,,Fire,09/22/2017 09:31:11 PM,POLK ST/GEARY ST,San Francisco,94109,B04,3,3116,3,3,3,false,Alarm,1,CHIEF,11,4,6,Tenderloin,"(37.785892901079, -122.419738734781)",172653984-B07
172784440,KM07,17117132,Alarms,10/05/2017,10/05/2017,10/05/2017 11:38:25 PM,10/05/2017 11:40:07 PM,10/05/2017 11:45:47 PM,,,,,Fire,10/05/2017 11:46:39 PM,1500 Block of 6TH AVE,San Francisco,94122,B08,22,7331,3,3,3,false,Alarm,1,PRIVATE,5,8,7,Inner Sunset,"(37.760097059647, -122.462747826625)",172784440-KM07
172731658,B08,17114858,Alarms,09/30/2017,09/30/2017,09/30/2017 12:24:15 PM,09/30/2017 12:25:18 PM,09/30/2017 12:26:00 PM,,,,,Fire,09/30/2017 12:26:30 PM,2500 Block of 18TH AVE,San Francisco,94116,B08,40,7415,3,3,3,false,Alarm,1,CHIEF,2,8,7,West of Twin Peaks,"(37.74030585418, -122.474360341534)",172731658-B08
172642706,58,17111187,Explosion,09/21/2017,09/21/2017,09/21/2017 03:53:32 PM,09/21/2017 03:53:32 PM,09/21/2017 03:53:47 PM,09/21/2017 03:53:58 PM,,,,Fire,09/21/2017 03:56:07 PM,1400 Block of POTRERO AVE,San Francisco,94110,B10,9,2624,A,3,3,true,Fire,1,MEDIC,5,10,10,Mission,"(37.750481610763, -122.405740397561)",172642706-58
172843329,B09,17119691,Alarms,10/11/2017,10/11/2017,10/11/2017 06:17:18 PM,10/11/2017 06:18:48 PM,10/11/2017 06:19:07 PM,10/11/2017 06:21:52 PM,,,,Fire,10/11/2017 06:27:35 PM,700 Block of CONGO ST,San Francisco,94131,B09,26,8177,3,3,3,false,Alarm,1,CHIEF,3,9,7,West of Twin Peaks,"(37.735307137764, -122.441470313479)",172843329-B09
172750433,T06,17115505,Alarms,10/02/2017,10/01/2017,10/02/2017 05:37:30 AM,10/02/2017 05:38:31 AM,10/02/2017 05:38:38 AM,10/02/2017 05:40:58 AM,,,,Fire,10/02/2017 05:49:33 AM,300 Block of 14TH ST,San Francisco,94103,B02,6,5215,3,3,3,false,Alarm,1,TRUCK,3,2,9,Mission,"(37.768110130119, -122.421776598111)",172750433-T06
192063523,85,19087776,Medical Incident,07/25/2019,07/25/2019,07/25/2019 07:30:53 PM,07/25/2019 07:30:53 PM,07/25/2019 07:31:16 PM,07/25/2019 07:31:22 PM,07/25/2019 07:43:34 PM,07/25/2019 08:04:26 PM,07/25/2019 08:25:48 PM,Code 2 Transport,07/25/2019 08:55:02 PM,CONGO ST/CIRCULAR AV,San Francisco,94131,B09,15,8215,A,2,2,true,Non Life-threatening,1,MEDIC,1,9,7,West of Twin Peaks,"(37.72937526812839, -122.44200661298434)",192063523-85
192063540,93,19087777,Medical Incident,07/25/2019,07/25/2019,07/25/2019 07:33:32 PM,07/25/2019 07:35:34 PM,07/25/2019 07:36:27 PM,07/25/2019 07:36:36 PM,07/25/2019 07:42:32 PM,,,Against Medical Advice,07/25/2019 08:36:26 PM,800 Block of FILLMORE ST,San Francisco,94117,B05,5,3533,3,3,3,true,Potentially Life-Threatening,1,MEDIC,2,5,5,Hayes Valley,"(37.77722109299754, -122.43154785891598)",192063540-93
192063540,E05,19087777,Medical Incident,07/25/2019,07/25/2019,07/25/2019 07:33:32 PM,07/25/2019 07:35:34 PM,07/25/2019 07:36:27 PM,07/25/2019 07:37:19 PM,07/25/2019 07:38:58 PM,,,Against Medical Advice,07/25/2019 07:50:52 PM,800 Block of FILLMORE ST,San Francisco,94117,B05,5,3533,3,3,3,true,Potentially Life-Threatening,1,ENGINE,1,5,5,Hayes Valley,"(37.77722109299754, -122.43154785891598)",192063540-E05
192063562,T01,19087778,Elevator / Escalator Rescue,07/25/2019,07/25/2019,07/25/2019 07:39:03 PM,07/25/2019 07:41:45 PM,07/25/2019 07:42:06 PM,07/25/2019 07:44:18 PM,07/25/2019 07:48:00 PM,,,Fire,07/25/2019 08:00:44 PM,1200 Block of HARRISON ST,San Francisco,94103,B03,29,2333,3,3,3,false,Alarm,1,TRUCK,1,2,6,South of Market,"(37.77333765612392, -122.40914851003154)",192063562-T01
192063563,60,19087779,Medical Incident,07/25/2019,07/25/2019,07/25/2019 07:39:13 PM,07/25/2019 07:41:46 PM,07/25/2019 07:42:51 PM,07/25/2019 07:42:58 PM,07/25/2019 07:50:41 PM,07/25/2019 08:11:48 PM,07/25/2019 08:29:45 PM,Code 2 Transport,07/25/2019 09:05:11 PM,700 Block of NATOMA ST,San Francisco,94103,B02,1,2318,2,2,2,true,Non Life-threatening,1,MEDIC,1,2,6,South of Market,"(37.77600992107847, -122.41288941546145)",192063563-60
192063585,94,19087780,Medical Incident,07/25/2019,07/25/2019,07/25/2019 07:49:11 PM,07/25/2019 07:51:11 PM,07/25/2019 07:51:36 PM,07/25/2019 07:51:51 PM,07/25/2019 07:59:11 PM,07/25/2019 08:33:45 PM,07/25/2019 08:51:54 PM,Code 2 Transport,07/25/2019 09:19:24 PM,3200 Block of 20TH AVE,San Francisco,94132,B08,19,8861,2,2,2,true,Non Life-threatening,1,MEDIC,2,8,7,Lakeshore,"(37.728544474924426, -122.47564682932689)",192063585-94
192063585,E19,19087780,Medical Incident,07/25/2019,07/25/2019,07/25/2019 07:49:11 PM,07/25/2019 07:51:11 PM,07/25/2019 07:51:36 PM,07/25/2019 07:52:40 PM,07/25/2019 07:53:48 PM,,,Code 2 Transport,07/25/2019 08:19:08 PM,3200 Block of 20TH AVE,San Francisco,94132,B08,19,8861,2,2,2,true,Non Life-threatening,1,ENGINE,1,8,7,Lakeshore,"(37.728544474924426, -122.47564682932689)",192063585-E19
192063604,73,19087781,Medical Incident,07/25/2019,07/25/2019,07/25/2019 07:53:16 PM,07/25/2019 07:56:00 PM,07/25/2019 07:56:18 PM,07/25/2019 07:56:24 PM,07/25/2019 08:15:55 PM,07/25/2019 08:28:10 PM,07/25/2019 08:41:12 PM,Code 2 Transport,07/25/2019 09:32:12 PM,0 Block of 4TH ST,San Francisco,94103,B03,1,2213,2,2,2,true,Potentially Life-Threatening,1,MEDIC,1,3,6,Financial District/South Beach,"(37.78512514681569, -122.40496596087202)",192063604-73
192063606,63,19087782,Medical Incident,07/25/2019,07/25/2019,07/25/2019 07:55:18 PM,07/25/2019 07:56:19 PM,07/25/2019 07:56:43 PM,07/25/2019 07:57:04 PM,07/25/2019 07:03:33 PM,07/25/2019 08:24:50 PM,07/25/2019 08:40:13 PM,Code 2 Transport,07/25/2019 09:09:35 PM,500 Block of 45TH AV,San Francisco,94121,B07,34,7274,3,3,3,true,Potentially Life-Threatening,1,MEDIC,2,7,1,Outer Richmond,"(37.778153664202115, -122.50602433750649)",192063606-63
172454302,T10,17103215,Water Rescue,09/02/2017,09/02/2017,09/02/2017 10:14:30 PM,09/02/2017 10:14:30 PM,09/02/2017 10:16:09 PM,,,,,Code 3 Transport,09/02/2017 10:18:05 PM,CALL BOX:,San Francisco,94123,B04,51,4215,A,3,3,true,Fire,1,TRUCK,10,7,2,Marina,"(37.806192679605, -122.448395782098)",172454302-T10
172481701,T07,17104417,Alarms,09/05/2017,09/05/2017,09/05/2017 11:51:51 AM,09/05/2017 11:53:05 AM,09/05/2017 11:54:32 AM,,,,,Fire,09/05/2017 11:55:44 AM,2500 Block of MISSION ST,San Francisco,94110,B06,7,5472,3,3,3,true,Alarm,1,TRUCK,3,6,9,Mission,"(37.756240343898, -122.418755320213)",172481701-T07
172501476,E36,17105311,Alarms,09/07/2017,09/07/2017,09/07/2017 10:53:56 AM,09/07/2017 10:55:45 AM,09/07/2017 10:57:23 AM,09/07/2017 10:57:25 AM,,,,Fire,09/07/2017 10:58:15 AM,300 Block of ALABAMA ST,San Francisco,94110,B02,29,5241,3,3,3,true,Alarm,1,ENGINE,6,2,9,Mission,"(37.764837466631, -122.412423904797)",172501476-E36
172391581,T11,17099803,Alarms,08/27/2017,08/27/2017,08/27/2017 12:21:55 PM,08/27/2017 12:22:16 PM,08/27/2017 12:22:21 PM,08/27/2017 12:23:53 PM,,,,Fire,08/27/2017 12:33:13 PM,1200 Block of NOE ST,San Francisco,94114,B06,11,554,3,3,3,false,Alarm,1,TRUCK,3,6,8,Noe Valley,"(37.749424800584, -122.43174723)",172391581-T11
172391174,B01,17099749,Alarms,08/27/2017,08/27/2017,08/27/2017 10:13:15 AM,08/27/2017 10:14:32 AM,08/27/2017 10:14:37 AM,08/27/2017 10:16:06 AM,,,,Fire,08/27/2017 10:23:04 AM,2000 Block of POLK ST,San Francisco,94109,B04,41,3125,3,3,3,false,Alarm,1,CHIEF,2,4,3,Russian Hill,"(37.795495065449, -122.421607115084)",172391174-B01
172454055,E04,17103167,Alarms,09/02/2017,09/02/2017,09/02/2017 09:02:37 PM,09/02/2017 09:04:25 PM,09/02/2017 09:04:32 PM,09/02/2017 09:05:00 PM,,,,Fire,09/02/2017 09:08:11 PM,400 Block of ILLINOIS ST,San Francisco,94158,B03,4,2374,3,3,3,false,Alarm,1,ENGINE,3,3,6,Mission Bay,"(37.76567281223, -122.387971482123)",172454055-E04
172444404,B02,17102375,Alarms,09/01/2017,09/01/2017,09/01/2017 09:01:06 PM,09/01/2017 09:02:29 PM,09/01/2017 09:04:44 PM,09/01/2017 09:06:17 PM,09/01/2017 09:09:13 PM,,,Fire,09/01/2017 09:18:04 PM,3500 Block of 17TH ST,San Francisco,94110,B02,6,5251,3,3,3,false,Alarm,1,CHIEF,3,2,8,Mission,"(37.76315412268, -122.425099106789)",172444404-B02
172130271,T13,17089160,Other,08/01/2017,07/31/2017,08/01/2017 02:54:11 AM,08/01/2017 02:54:11 AM,08/01/2017 02:54:42 AM,08/01/2017 02:58:52 AM,08/01/2017 03:01:31 AM,,,Fire,08/01/2017 03:19:44 AM,600 Block of CLAY ST,San Francisco,94111,B01,13,1233,A,2,2,true,Alarm,1,TRUCK,1,1,3,Chinatown,"(37.794505427206, -122.403956804569)",172130271-T13
172460161,B06,17103282,Alarms,09/03/2017,09/02/2017,09/03/2017 12:48:44 AM,09/03/2017 12:50:56 AM,09/03/2017 12:51:34 AM,09/03/2017 12:54:07 AM,,,,Fire,09/03/2017 12:57:52 AM,100 Block of KNOLLVIEW WAY,San Francisco,94131,B08,20,5361,3,3,3,false,Alarm,1,CHIEF,2,8,7,Twin Peaks,"(37.751919700658, -122.451052053249)",172460161-B06
172442762,E29,17102092,Alarms,09/01/2017,09/01/2017,09/01/2017 03:28:58 PM,09/01/2017 03:30:26 PM,09/01/2017 03:32:58 PM,,,,,Fire,09/01/2017 03:33:43 PM,300 Block of DOLORES ST,San Francisco,94110,B02,6,5251,3,3,3,true,Alarm,1,ENGINE,2,2,8,Mission,"(37.763515838217, -122.426118705944)",172442762-E29
172591031,E29,17109071,Alarms,09/16/2017,09/16/2017,09/16/2017 08:59:37 AM,09/16/2017 09:01:03 AM,09/16/2017 09:01:32 AM,,,,,Fire,09/16/2017 09:04:30 AM,1200 Block of HARRISON ST,San Francisco,94103,B03,29,2333,3,3,3,true,Alarm,1,ENGINE,1,3,6,South of Market,"(37.773259803654, -122.40905086984)",172591031-E29
172590123,E36,17108973,Alarms,09/16/2017,09/15/2017,09/16/2017 12:40:28 AM,09/16/2017 12:42:16 AM,09/16/2017 12:42:36 AM,,,,,Fire,09/16/2017 12:45:35 AM,100 Block of OTIS ST,San Francisco,94103,B02,36,5125,3,3,3,true,Alarm,1,ENGINE,1,2,6,Mission,"(37.770913337297, -122.420304994325)",172590123-E36
192063606,E14,19087782,Medical Incident,07/25/2019,07/25/2019,07/25/2019 07:55:18 PM,07/25/2019 07:56:19 PM,07/25/2019 07:58:37 PM,07/25/2019 08:00:28 PM,07/25/2019 08:03:39 PM,,,Code 2 Transport,07/25/2019 08:05:46 PM,500 Block of 45TH AV,San Francisco,94121,B07,34,7274,3,3,3,true,Potentially Life-Threatening,1,ENGINE,3,7,1,Outer Richmond,"(37.778153664202115, -122.50602433750649)",192063606-E14
192063606,E34,19087782,Medical Incident,07/25/2019,07/25/2019,07/25/2019 07:55:18 PM,07/25/2019 07:56:19 PM,07/25/2019 07:56:43 PM,07/25/2019 07:58:04 PM,07/25/2019 07:59:34 PM,,,Code 2 Transport,07/25/2019 08:12:04 PM,500 Block of 45TH AV,San Francisco,94121,B07,34,7274,3,3,3,false,Potentially Life-Threatening,1,ENGINE,1,7,1,Outer Richmond,"(37.778153664202115, -122.50602433750649)",192063606-E34
192063613,59,19087783,Medical Incident,07/25/2019,07/25/2019,07/25/2019 07:54:53 PM,07/25/2019 07:57:41 PM,07/25/2019 07:57:56 PM,07/25/2019 07:58:02 PM,07/25/2019 08:02:26 PM,07/25/2019 08:22:54 PM,07/25/2019 08:40:09 PM,Code 2 Transport,07/25/2019 09:09:52 PM,200 Block of HARBOR RD,San Francisco,94124,B10,17,6627,3,3,3,true,Potentially Life-Threatening,1,MEDIC,1,10,10,Bayview Hunters Point,"(37.732322103177594, -122.37838499224675)",192063613-59
192063613,E17,19087783,Medical Incident,07/25/2019,07/25/2019,07/25/2019 07:54:53 PM,07/25/2019 07:57:41 PM,07/25/2019 07:57:56 PM,07/25/2019 08:00:17 PM,07/25/2019 08:02:54 PM,,,Code 2 Transport,07/25/2019 08:12:05 PM,200 Block of HARBOR RD,San Francisco,94124,B10,17,6627,3,3,3,true,Potentially Life-Threatening,1,ENGINE,2,10,10,Bayview Hunters Point,"(37.732322103177594, -122.37838499224675)",192063613-E17
180783145,T02,18033321,Structure Fire,03/19/2018,03/19/2018,03/19/2018 05:33:44 PM,03/19/2018 05:33:44 PM,03/19/2018 05:34:26 PM,03/19/2018 05:36:21 PM,,,,Fire,03/19/2018 05:39:29 PM,VAN NESS AV/LOMBARD ST,San Francisco,94109,B04,28,3145,3,3,3,false,Alarm,1,TRUCK,1,4,2,Marina,"(37.801303718724, -122.42453832621)",180783145-T02
160251170,E08,16009872,Medical Incident,01/25/2016,01/25/2016,01/25/2016 10:08:13 AM,01/25/2016 10:08:36 AM,01/25/2016 10:09:15 AM,01/25/2016 10:09:32 AM,,,,Code 2 Transport,01/25/2016 10:10:00 AM,POWELL ST/BROADWAY,San Francisco,94133,B01,2,1353,2,2,2,true,Potentially Life-Threatening,1,ENGINE,5,1,3,Chinatown,"(37.797420185655, -122.410263526117)",160251170-E08
172611585,T09,17109848,Alarms,09/18/2017,09/18/2017,09/18/2017 11:37:19 AM,09/18/2017 11:38:37 AM,09/18/2017 11:39:26 AM,09/18/2017 11:39:48 AM,,,,Fire,09/18/2017 11:45:32 AM,700 Block of GIRARD ST,San Francisco,94134,B10,44,6326,3,3,3,false,Alarm,1,TRUCK,3,10,9,Portola,"(37.723157273601, -122.402920961359)",172611585-T09
172610512,T15,17109761,Structure Fire,09/18/2017,09/17/2017,09/18/2017 06:24:00 AM,09/18/2017 06:24:00 AM,09/18/2017 06:25:38 AM,,,,,Fire,09/18/2017 06:29:38 AM,MISSION ST/EXCELSIOR AV,San Francisco,94112,B09,43,6116,3,3,3,true,Alarm,1,TRUCK,2,9,11,Excelsior,"(37.726236244974, -122.433623592293)",172610512-T15
